State,City,Population,Median_Age,Household_Income,Per_Capita_Income,Poverty_Count
WI,Ripon,10725,47,55417,32223,716
WI,River Falls,22898,32,67107,32017,2276
WI,Roberts,4091,35,82500,33427,166
WI,Rochester,781,25,51579,23383,161
WI,Rock Springs,831,46,63162,30735,82
WI,Rockland,902,32,61094,23132,111
WI,Rosendale,1375,41,65156,29764,119
WI,Rosholt,2701,47,53688,27394,217
WI,Rothschild,3723,42,53883,31533,278
WI,Rubicon,1701,46,69934,34688,84
WI,Rudolph,1626,43,62614,28897,104
WI,Saint Cloud,1420,47,71797,31542,68
WI,Saint Croix Falls,4796,49,50735,28280,431
WI,Saint Francis,9172,47,41719,29235,1103
WI,Saint Germain,2010,53,39707,27421,232
WI,Saint Joseph,1458,46,115417,50004,44
WI,Saint Nazianz,846,43,44167,26467,36
WI,Salem,8521,43,74088,34078,853
WI,Sand Creek,39,20,23750,8374,35
WI,Sarona,1504,57,56827,36079,97
WI,Sauk City,5888,43,70152,33504,389
WI,Saukville,5831,36,59545,30544,484
WI,Saxon,828,38,44318,20052,246
WI,Sayner,568,52,61198,38755,34
WI,Scandinavia,1419,46,62647,32889,125
WI,Schofield,18962,37,60633,29545,2114
WI,Seymour,7846,42,63929,31854,629
WI,Sharon,2284,38,50365,25650,378
WI,Shawano,16746,45,49943,27551,1863
WI,Sheboygan,62840,39,55942.5,27482,6346
WI,Sheboygan Falls,11301,46,55579,32297,680
WI,Sheldon,1707,37,44770,19050,305
WI,Shell Lake,3066,48,42917,25668,415
WI,Sherwood,2791,44,97969,39577,115
WI,Shiocton,3353,43,63167,30849,213
WI,Shullsburg,2226,45,53750,27123,279
WI,Silver Lake,2529,35,61228,28931,91
WI,Siren,2646,48,40417,23261,520
WI,Sister Bay,1563,64,55388,33264,114
WI,Slinger,8391,40,78796,37751,411
WI,Sobieski,3748,41,86463,35570,86
WI,Soldiers Grove,1796,48,43958,24354,242
WI,Solon Springs,2749,56,53425,32726,253
WI,Somerset,7450,35,75943,30405,348
WI,South Milwaukee,21185,41,51484,26579,3424
WI,South Range,3821,43,64798,30636,283
WI,South Wayne,1194,47,55313,30074,70
WI,Sparta,17522,43,58727,28567,2184
WI,Spencer,3883,39,54787,25917,279
WI,Spooner,6662,47,48306,28115,970
WI,Spring Green,3978,50,60377,33391,324
WI,Spring Valley,3765,38,67188,29256,338
WI,Springbrook,1135,49,43173,25204,124
WI,Stanley,6159,38,43314,18328,704
WI,Star Prairie,1925,41,59405,29192,127
WI,Stetsonville,1401,34,49276,21983,176
WI,Steuben,366,48,46000,25104,38
WI,Stevens Point,29125,29,47423,24506,5328
WI,Stitzer,577,29,47500,20557,144
WI,Stockbridge,434,35,57865,25878,54
WI,Stockholm,664,53,53750,31010,91
WI,Stoddard,2448,48,53594,28875,246
WI,Stone Lake,1456,50,44167,23111,245
WI,Stoughton,20178,42,71051,35686,1329
WI,Stratford,4974,40,64261,29332,353
WI,Strum,2116,43,61974,28329,122
WI,Sturgeon Bay,16606,49,54777,33126,1488
WI,Sturtevant,8378,42,64920,25516,517
WI,Suamico,4238,43,79795,42768,148
WI,Sullivan,2810,49,60298,29565,223
WI,Summit Lake,336,59,38333,22682,53
WI,Sun Prairie,39227,35,72317,33510,3209
WI,Superior,30137,38,46113,26378,4905
WI,Suring,2986,50,46818,24571,405
WI,Sussex,19341,41,87106,39703,702
WI,Taylor,1370,37,56023,25326,153
WI,Theresa,1829,47,62333,30182,46
WI,Thiensville,21212,50,96627,63352,1142
WI,Thorp,4245,37,48688,22766,458
WI,Three Lakes,1755,60,52863,34187,152
WI,Tigerton,2273,47,45427,24073,252
WI,Tomah,16240,39,54355,26638,1579
WI,Tomahawk,9604,52,50792,28842,841
WI,Tony,738,45,46023,23831,80
WI,Townsend,935,63,54306,29982,66
WI,Trego,1275,56,49922,30652,97
WI,Trempealeau,3658,42,60977,30867,149
WI,Trevor,6930,35,68199,28934,484
WI,Tripoli,403,56,52500,26222,47
WI,Turtle Lake,2492,47,48333,25787,287
WI,Twin Lakes,7450,41,65168,34917,673
WI,Two Rivers,14413,47,44315,25979,1536
WI,Union Grove,9606,43,66572,31510,1146
WI,Unity,1275,35,51146,26285,138
WI,Valders,2178,41,58750,27707,173
WI,Van Dyne,1338,49,64250,32130,34
WI,Verona,22659,38,99578,51072,752
WI,Vesper,1596,41,59886,28776,104
WI,Viola,1650,45,43864,21056,338
WI,Viroqua,8119,47,48895,28884,1127
WI,Wabeno,1309,50,47625,24772,190
WI,Waldo,2022,42,80938,33427,129
WI,Wales,2797,44,99095,48037,136
WI,Walworth,4317,39,51377,24120,680
WI,Warrens,2671,43,60216,28699,213
WI,Washburn,3254,50,49706,30612,339
WI,Washington Island,838,63,58542,39900,46
WI,Waterford,18935,43,86729,38224,841
WI,Waterloo,5069,44,75306,32453,357
WI,Watertown,30829,40,52137,26332,3303
WI,Waukesha,95410,38,70281.33333,34500,8212
WI,Waunakee,18723,42,98519,43870,649
WI,Waupaca,15344,47,55821,32452,1262
WI,Waupun,13918,39,55799,24548,1159
WI,Wausau,55764,41,47727,29475,7464
WI,Wausaukee,2919,54,40098,24874,451
WI,Wautoma,7026,49,48470,26411,911
WI,Wauzeka,1195,37,49375,22844,192
WI,Webster,3640,52,42198,25433,578
WI,West Bend,49173,42,64771,33284,2981
WI,West Salem,7829,44,73319,33394,442
WI,Westboro,799,44,53542,28417,51
WI,Westby,4883,38,53596,25003,550
WI,Westfield,3673,43,49390,23638,497
WI,Weyauwega,4436,45,54512,27661,406
WI,Weyerhaeuser,892,52,50313,31275,104
WI,Wheeler,1010,40,53000,25462,144
WI,White Lake,1484,56,40875,27501,208
WI,Whitehall,3428,43,49726,24699,331
WI,Whitelaw,2154,48,67037,31819,62
WI,Whitewater,19401,22,43339,19747,4796
WI,Wild Rose,3104,56,47031,26206,247
WI,Willard,657,49,44205,24221,112
WI,Williams Bay,2798,48,63190,34973,159
WI,Wilson,1001,43,69583,28611,57
WI,Wilton,1946,28,57692,20285,674
WI,Windsor,2486,40,74244,42476,96
WI,Winneconne,4954,49,62727,33674,177
WI,Winter,1422,59,42171,25050,189
WI,Wisconsin Dells,10219,45,49247,27763,1335
WI,Wisconsin Rapids,33919,43,46252,26158,3984
WI,Withee,2508,35,47056,20254,378
WI,Wittenberg,2939,45,48750,25135,340
WI,Wonewoc,2292,44,48125,26495,246
WI,Woodford,52,28,31528,14792,2
WI,Woodman,269,42,68750,25302,13
WI,Woodruff,4938,50,39678,25722,534
WI,Woodville,2281,43,53250,27146,151
WI,Wrightstown,3406,36,75791,30716,146
WI,Wyocena,363,53,54375,25487,45
WI,Zenda,108,57,52125,26704,37
WV,Accoville,1448,34,39135,20943,541
WV,Albright,2213,45,45707,20525,375
WV,Alderson,5740,44,37113,18188,999
WV,Alkol,1218,49,48382,24503,195
WV,Allen Junction,294,54,38953,16112,19
WV,Alma,601,56,47708,33397,54
WV,Alum Bridge,376,33,38625,18735,119
WV,Alum Creek,2783,36,36311,23801,431
WV,Amherstdale,1052,37,25345,17639,471
WV,Anawalt,588,49,36667,15900,140
WV,Anmoore,442,34,38125,18078,119
WV,Ansted,1770,43,36932,18093,252
WV,Apple Grove,1079,55,51507,21323,204
WV,Arbovale,541,55,29154,23379,94
WV,Arnett,914,40,36650,14181,139
WV,Arnoldsburg,1207,44,37500,19594,120
WV,Asbury,720,47,51118,21009,113
WV,Ashford,1357,42,34792,18542,327
WV,Ashton,1664,32,50631,15045,377
WV,Athens,2095,25,33933,17058,389
WV,Auburn,235,58,14063,11000,104
WV,Augusta,5734,45,36603,19890,909
WV,Aurora,667,49,42788,33297,36
WV,Avondale,551,48,27228,23933,111
WV,Baisden,1070,52,32813,18016,286
WV,Baker,1087,47,71875,27862,150
WV,Ballard,1924,36,52035,19537,247
WV,Bancroft,867,43,63056,23986,59
WV,Barboursville,12840,40,43617,28156,1493
WV,Barrackville,1243,41,59583,27223,161
WV,Bartow,191,54,20066,22480,41
WV,Baxter,239,39,73235,27289,74
WV,Bayard,255,48,32045,19243,54
WV,Beaver,7864,38,41422,19510,728
WV,Beckley,33352,41,42376,24720,6304
WV,Beech Bottom,674,39,40000,18909,103
WV,Beeson,232,60,21823,17381,25
WV,Belington,5285,42,40909,17780,964
WV,Belle,4228,45,43199,22143,524
WV,Belleville,1472,43,37321,20698,194
WV,Belmont,1110,47,40781,22722,280
WV,Belva,275,52,27625,21987,57
WV,Benwood,1713,48,36389,21198,299
WV,Berkeley Springs,12532,47,46722,24409,1382
WV,Berwind,825,40,26139,12093,454
WV,Bethany,1063,21,57500,13973,12
WV,Beverly,3881,38,40469,28052,1032
WV,Bickmore,535,41,27075,14074,180
WV,Big Creek,738,37,64293,16045,229
WV,Big Sandy,200,69,38715,21399,18
WV,Big Springs,622,52,37031,21780,42
WV,Bim,291,35,18836,12775,161
WV,Birch River,1248,34,31719,12506,531
WV,Blacksville,258,30,51786,23913,52
WV,Bloomery,212,64,59020,36729,26
WV,Bloomingrose,397,35,35385,20037,143
WV,Bluefield,19621,44,32199,19779,4888
WV,Bob White,401,50,28250,22332,100
WV,Bolt,778,38,38688,18940,259
WV,Bomont,406,51,48517,18187,98
WV,Boomer,790,28,36696,21396,145
WV,Bowden,269,58,28964,20180,8
WV,Bradley,283,50,36364,26531,61
WV,Bradshaw,838,39,19063,13925,353
WV,Bramwell,484,53,25893,15408,123
WV,Branchland,5440,42,26934,15552,1634
WV,Brandywine,1161,41,39213,21551,234
WV,Breeden,718,32,40341,15270,326
WV,Brenton,1015,43,20969,15990,281
WV,Bridgeport,14815,43,75829,40410,835
WV,Bruceton Mills,7619,39,53043,20555,850
WV,Bruno,1486,32,63837,17256,302
WV,Buckeye,417,51,38264,19047,10
WV,Buckhannon,19924,42,41691,22184,3468
WV,Bud,466,60,34524,22407,133
WV,Buffalo,2186,41,47396,21244,248
WV,Bunker Hill,8055,41,68273,28777,633
WV,Burlington,2089,50,41932,19865,175
WV,Burnsville,1501,43,48889,20476,256
WV,Burton,509,55,42639,27683,84
WV,Cabin Creek,1197,34,19460,9102,537
WV,Cabins,697,47,42273,26249,54
WV,Cairo,1273,41,39507,21799,114
WV,Caldwell,509,57,44327,37616,60
WV,Calvin,245,55,45774,24934,11
WV,Camden,760,44,46198,20019,91
WV,Camden On Gauley,871,44,42315,20181,178
WV,Cameron,2854,47,34643,20789,567
WV,Camp Creek,395,53,30469,15913,149
WV,Cannelton,422,41,42083,22215,61
WV,Canvas,1126,46,54375,28288,25
WV,Capon Bridge,2274,45,47141,23570,307
WV,Capon Springs,257,49,25380,34761,57
WV,Carolina,436,53,38125,23414,62
WV,Cedar Grove,919,50,43708,21542,159
WV,Cedarville,209,52,38750,24925,31
WV,Center Point,215,56,30714,31760,13
WV,Ceredo,897,48,53333,28561,71
WV,Chapmanville,9077,44,38558,23540,1501
WV,Charles Town,17496,41,79099,35684,1736
WV,Charleston,115515,43,48239.16667,29824,18645
WV,Charlton Heights,505,43,45114,22933,17
WV,Charmco,840,43,31641,15035,154
WV,Chester,4533,46,42286,22540,330
WV,Circleville,886,44,30882,14888,256
WV,Clarksburg,29792,40,41105,23175,6112
WV,Clay,1538,42,27727,16475,488
WV,Clear Creek,235,53,28750,11255,88
WV,Clear Fork,597,37,41058,19574,117
WV,Clendenin,5026,41,40000,20089,774
WV,Clothier,244,42,21172,12560,66
WV,Coal City,2430,51,35625,17926,515
WV,Coal Mountain,483,30,37426,13040,9
WV,Coalton,1096,47,37212,25618,102
WV,Colcord,64,55,14531,10022,25
WV,Colliers,2389,54,48375,24838,288
WV,Comfort,523,30,45208,18180,25
WV,Cool Ridge,2135,45,64265,35162,162
WV,Cottageville,1668,48,40852,23688,213
WV,Cowen,3254,40,21451,18933,1365
WV,Coxs Mills,143,58,41172,27034,25
WV,Crab Orchard,2126,51,42631,18998,305
WV,Craigsville,3279,42,38319,19854,573
WV,Crawley,1177,57,39833,25631,226
WV,Creston,322,44,27917,14748,52
WV,Crum,1037,47,31250,17428,149
WV,Cucumber,91,57,22778,9130,46
WV,Culloden,5056,41,59531,25726,750
WV,Cyclone,1308,46,57734,19821,149
WV,Danese,1589,47,42296,22151,162
WV,Daniels,4379,44,64390,37890,299
WV,Danville,4601,37,36085,17587,1466
WV,Davin,814,49,38617,19926,138
WV,Davis,1410,47,47882,23846,237
WV,Davisville,2355,43,55000,30118,217
WV,Davy,811,40,19707,9500,398
WV,Deep Water,435,34,46111,19663,85
WV,Delbarton,5626,43,36088,20538,1448
WV,Delray,372,43,19293,13277,148
WV,Dingess,1319,39,35703,18666,230
WV,Dixie,521,52,44038,21552,67
WV,Dorothy,277,46,54954,20510,23
WV,Dry Creek,172,46,26250,15059,65
WV,Drybranch,874,48,60784,18498,124
WV,Duck,1636,55,35729,19168,202
WV,Dunbar,9393,45,42580,25784,1401
WV,Dunmore,350,58,27404,40479,66
WV,Durbin,593,43,39688,21292,112
WV,East Bank,1019,43,48594,21383,203
WV,East Lynn,819,51,31467,14047,116
WV,Eccles,619,28,25103,8491,376
WV,Edgarton,491,31,19240,12733,296
WV,Edmond,332,40,42292,18284,82
WV,Eglon,888,46,49417,20724,46
