,Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count
21246,61932,430.0,43.4,41667.0,25686.0,72.0
21247,61933,1012.0,43.8,39792.0,22412.0,162.0
21248,61936,193.0,39.1,43542.0,27430.0,27.0
21249,61937,2279.0,33.9,56964.0,22287.0,309.0
21250,61938,21757.0,40.2,44332.0,27799.0,3421.0
21251,61940,251.0,44.6,50000.0,21382.0,36.0
21252,61941,54.0,-666666666.0,-666666666.0,,54.0
21253,61942,1208.0,49.0,51477.0,25412.0,230.0
21254,61943,1582.0,49.1,51023.0,25454.0,329.0
21255,61944,11918.0,44.5,45826.0,26344.0,1801.0
21256,61949,137.0,55.1,51375.0,31445.0,10.0
21257,61951,7844.0,41.4,51740.0,27187.0,1080.0
21258,61953,6091.0,41.8,50874.0,31599.0,831.0
21259,61955,232.0,36.1,49063.0,18352.0,56.0
21260,61956,2680.0,42.6,56379.0,27335.0,264.0
21261,61957,2001.0,42.5,53421.0,23738.0,352.0
21262,62001,1664.0,44.1,71495.0,33804.0,60.0
21263,62002,31489.0,41.1,42464.0,25781.0,7563.0
21264,62006,600.0,42.0,63021.0,27016.0,13.0
21265,62009,1731.0,38.9,39850.0,20176.0,347.0
21266,62010,11571.0,39.5,64880.0,30349.0,1046.0
21267,62011,157.0,60.8,47000.0,27400.0,13.0
21268,62012,6500.0,44.2,70478.0,32728.0,344.0
21269,62013,506.0,49.9,55000.0,26891.0,50.0
21270,62014,4247.0,42.1,60361.0,25899.0,600.0
21271,62015,461.0,55.0,42083.0,27472.0,20.0
21272,62016,3583.0,40.8,49406.0,26150.0,405.0
21273,62017,918.0,49.2,37826.0,23492.0,172.0
21274,62018,2977.0,38.8,46883.0,22357.0,614.0
21275,62019,373.0,56.2,38906.0,19817.0,65.0
21276,62021,865.0,59.3,73333.0,37926.0,43.0
21277,62022,956.0,55.3,56054.0,31896.0,95.0
21278,62023,125.0,31.8,50313.0,30696.0,38.0
21279,62024,9910.0,43.1,51611.0,28059.0,1374.0
21280,62025,34504.0,34.7,76407.0,35564.0,3282.0
21281,62027,554.0,50.1,62083.0,30488.0,60.0
21282,62028,1213.0,20.9,70735.0,21925.0,11.0
21283,62030,143.0,28.9,21875.0,12345.0,43.0
21284,62031,836.0,51.8,47656.0,25924.0,138.0
21285,62032,669.0,45.7,38438.0,20566.0,200.0
21286,62033,4526.0,45.8,42443.0,25725.0,977.0
21287,62034,13605.0,40.7,80928.0,39776.0,693.0
21288,62035,16438.0,45.6,64763.0,33227.0,1137.0
21289,62036,802.0,55.6,61250.0,31597.0,50.0
21290,62037,2066.0,47.3,51071.0,27728.0,278.0
21291,62040,42692.0,42.0,48582.0,25281.0,7053.0
21292,62044,2027.0,47.1,47479.0,24743.0,240.0
21293,62045,331.0,43.6,48542.0,28864.0,12.0
21294,62046,783.0,32.3,68056.0,27407.0,38.0
21295,62047,1625.0,46.5,53026.0,24668.0,267.0
21296,62048,1771.0,34.5,45909.0,21936.0,304.0
21297,62049,9236.0,38.1,50445.0,18458.0,726.0
21298,62050,440.0,36.6,34485.0,16523.0,118.0
21299,62051,792.0,52.7,46786.0,27876.0,175.0
21300,62052,12464.0,40.1,51779.0,26477.0,1182.0
21301,62053,633.0,30.1,38375.0,15193.0,170.0
21302,62054,821.0,40.3,52917.0,22646.0,94.0
21303,62056,8671.0,44.6,47392.0,26311.0,1425.0
21304,62058,768.0,44.3,43750.0,24237.0,96.0
21305,62059,580.0,32.3,16131.0,11476.0,283.0
21306,62060,4699.0,36.7,24626.0,15154.0,1661.0
21307,62061,1761.0,43.3,70437.0,35068.0,143.0
21308,62062,8095.0,44.0,83772.0,48251.0,599.0
21309,62063,1154.0,47.1,58929.0,28300.0,161.0
21310,62065,158.0,21.9,-666666666.0,28403.0,0.0
21311,62067,2468.0,44.9,61433.0,34028.0,205.0
21312,62069,3085.0,44.6,56302.0,25833.0,264.0
21313,62070,45.0,65.9,-666666666.0,22160.0,26.0
21314,62074,1298.0,40.6,81000.0,32144.0,34.0
21315,62075,3509.0,39.7,53333.0,24742.0,605.0
21316,62076,117.0,41.2,45000.0,25374.0,7.0
21317,62077,274.0,35.6,41250.0,18981.0,53.0
21318,62078,74.0,44.0,42500.0,18854.0,12.0
21319,62079,226.0,35.8,-666666666.0,14604.0,125.0
21320,62080,2690.0,44.4,38700.0,21378.0,544.0
21321,62081,386.0,33.6,45250.0,24055.0,49.0
21322,62082,2825.0,39.0,37692.0,18406.0,596.0
21323,62083,301.0,39.9,56250.0,22707.0,0.0
21324,62084,1632.0,40.4,45341.0,21844.0,277.0
21325,62085,193.0,42.5,33250.0,17230.0,62.0
21326,62086,1446.0,43.5,45625.0,21897.0,195.0
21327,62087,2232.0,30.7,41250.0,18299.0,702.0
21328,62088,6661.0,45.0,44978.0,26978.0,721.0
21329,62089,379.0,44.3,42955.0,28884.0,62.0
21330,62090,1216.0,32.7,22325.0,13678.0,347.0
21331,62091,276.0,46.5,81250.0,45116.0,17.0
21332,62092,2955.0,46.3,39196.0,21882.0,765.0
21333,62093,473.0,34.9,27188.0,14429.0,147.0
21334,62094,1050.0,44.3,47404.0,21224.0,232.0
21335,62095,10553.0,38.4,43704.0,23673.0,1853.0
21336,62097,2979.0,41.7,78936.0,30636.0,268.0
21337,62098,39.0,57.3,26250.0,20944.0,0.0
21338,62201,7862.0,23.7,15089.0,9647.0,4123.0
21339,62203,7464.0,43.5,31909.0,18055.0,1758.0
21340,62204,8416.0,34.7,17180.0,12247.0,4421.0
21341,62205,8547.0,42.3,23536.0,15891.0,3182.0
21342,62206,15233.0,35.7,29947.0,16083.0,4769.0
21343,62207,8473.0,35.1,17139.0,12702.0,3826.0
21344,62208,16644.0,40.7,64527.0,34226.0,1393.0
21345,62214,1183.0,44.5,60893.0,32636.0,46.0
21346,62215,1742.0,35.5,65500.0,29210.0,156.0
21347,62216,2807.0,36.9,82731.0,34204.0,151.0
21348,62217,734.0,42.2,40489.0,26209.0,138.0
21349,62218,1720.0,42.0,98884.0,37891.0,54.0
21350,62219,955.0,41.1,41087.0,24699.0,173.0
