State,City,Population,MedianAge,HouseholdIncome,PerCapitaIncome,PovertyCount
MO,Coffey,244,43.6,30000.0,16173.0,109
MO,Cole Camp,3364,47.7,42361.0,21161.0,457
MO,Collins,863,56.0,36006.0,22956.0,129
MO,Columbia,149368,30.399999999999995,49200.666666666664,27646.666666666668,28442
MO,Commerce,56,39.0,43250.0,16784.0,14
MO,Conception,241,27.3,44792.0,10861.0,50
MO,Conception Junction,449,47.1,51750.0,27465.0,27
MO,Concordia,3662,44.3,60958.0,30028.0,415
MO,Conway,2661,42.1,43239.0,18996.0,553
MO,Cooter,393,33.2,41316.0,18789.0,51
MO,Corder,722,41.0,46731.0,22359.0,68
MO,Cosby,860,45.0,89375.0,31153.0,56
MO,Couch,190,60.5,28750.0,19623.0,39
MO,Cowgill,546,44.6,44125.0,21492.0,56
MO,Craig,587,53.8,35000.0,21250.0,83
MO,Crane,4241,42.7,43140.0,20648.0,625
MO,Creighton,796,42.7,43438.0,25341.0,79
MO,Crocker,2705,36.9,40680.0,20011.0,597
MO,Cross Timbers,708,55.0,29474.0,18282.0,163
MO,Crystal City,4414,37.1,52438.0,25071.0,780
MO,Cuba,8434,40.4,35481.0,18544.0,2111
MO,Curryville,1088,41.7,38546.0,17433.0,168
MO,Dadeville,506,54.1,54792.0,28842.0,68
MO,Darlington,166,54.0,38875.0,24481.0,16
MO,Dawn,580,42.7,49286.0,29824.0,79
MO,De Kalb,601,51.0,67500.0,27768.0,33
MO,De Soto,20133,41.3,49759.0,23043.0,3037
MO,De Witt,227,50.4,33125.0,19770.0,59
MO,Dearborn,1788,38.8,68958.0,26575.0,111
MO,Deepwater,1739,51.6,36538.0,21169.0,469
MO,Deerfield,249,46.9,67826.0,26731.0,20
MO,Defiance,3631,49.4,105298.0,47900.0,81
MO,Delta,138,37.3,40556.0,15990.0,37
MO,Denver,176,61.4,59135.0,32591.0,13
MO,Des Arc,699,48.1,34583.0,15568.0,145
MO,Dexter,13434,42.3,39678.0,22349.0,2178
MO,Diamond,3116,40.1,59774.0,27278.0,327
MO,Dittmer,6007,40.6,49304.0,22483.0,1221
MO,Dixon,7174,39.9,43508.0,21416.0,1222
MO,Doniphan,9766,44.6,32536.0,18710.0,2342
MO,Dora,1448,44.1,33750.0,21472.0,397
MO,Dover,172,56.0,45000.0,23785.0,29
MO,Downing,960,38.6,45625.0,27189.0,64
MO,Drexel,2259,44.8,60324.0,27722.0,208
MO,Drury,469,56.1,41094.0,19916.0,43
MO,Dudley,840,32.5,40208.0,24538.0,66
MO,Duenweg,541,34.1,58214.0,22136.0,73
MO,Duke,115,40.7,41250.0,13510.0,37
MO,Dunnegan,819,36.8,47500.0,19809.0,120
MO,Dutchtown,25,56.9,35000.0,17952.0,4
MO,Eagle Rock,945,64.2,49107.0,28098.0,144
MO,Eagleville,790,38.4,41964.0,19786.0,176
MO,East Prairie,5577,36.9,31583.0,17488.0,1635
MO,Easton,1151,48.8,67609.0,30079.0,81
MO,Edgar Springs,1499,45.6,39821.0,19623.0,199
MO,Edgerton,1409,41.6,60769.0,25600.0,55
MO,Edina,1859,45.4,37463.0,21260.0,381
MO,Edwards,2382,55.9,40904.0,19524.0,643
MO,El Dorado Springs,7762,43.8,29739.0,17902.0,1762
MO,Eldon,11645,41.0,38479.0,22026.0,2708
MO,Eldridge,1000,40.4,64136.0,28487.0,107
MO,Elkland,1956,42.8,45054.0,19774.0,300
MO,Ellington,2743,47.8,37692.0,19860.0,388
MO,Ellsinore,2670,44.6,35285.0,21312.0,347
MO,Elmer,318,40.0,53750.0,21760.0,39
