Zipcode,Population,MedianAge,HouseholdIncome,PerCapitaIncome,PovertyCount,City,State,Latitude,Longitude,Timezone,DaylightSavingsTimeFlag,geopoint
40059,18805,45,135190,72408,375,Prospect,KY,38.350915,-85.60042,-5,1,38.350915
40060,1032,45.3,45000,25679,188,Raywick,KY,37.533395,-85.43588,-5,1,37.533395
40062,244,50.3,43750,26030,46,Saint Francis,KY,37.590699,-85.45004,-5,1,37.590699
40065,30587,37.5,59402,27825,3892,Shelbyville,KY,38.211511,-85.21658,-5,1,38.211511
40067,5499,34.4,83377,40899,856,Simpsonville,KY,38.210818,-85.36122,-5,1,38.210818
40068,2450,47.8,56623,29428,182,Smithfield,KY,38.400619,-85.27741,-5,1,38.400619
40069,8543,39.9,48274,22355,1228,Springfield,KY,37.702418,-85.22257,-5,1,37.702418
40070,513,34.9,77976,23844,51,Sulphur,KY,38.486325,-85.27425,-5,1,38.486325
40071,15510,40.8,66025,30709,1316,Taylorsville,KY,38.045406,-85.36427,-5,1,38.045406
40075,1138,41.9,53977,26142,121,Turners Station,KY,38.552133,-85.101879,-5,1,38.552133
40076,2294,50.5,57417,29728,314,Waddy,KY,38.122088,-85.06677,-5,1,38.122088
40077,336,53.4,48000,28373,10,Westport,KY,38.491982,-85.4722,-5,1,38.491982
40078,2380,43.1,43622,24086,545,Willisburg,KY,37.840066,-85.12572,-5,1,37.840066
40104,1018,44.7,49792,28275,168,Battletown,KY,38.087303,-86.35414,-5,1,38.087303
40107,2306,42.8,64567,28315,174,Boston,KY,37.768921,-85.65602,-5,1,37.768921
40108,12154,41.7,56684,25308,1438,Brandenburg,KY,37.973094,-86.11831,-5,1,37.973094
40109,1963,50.9,53706,27033,214,Brooks,KY,38.062515,-85.73559,-5,1,38.062515
40111,1515,40.6,37656,19830,334,Cloverport,KY,37.816771,-86.63448,-6,1,37.816771
40115,517,49.8,41667,24694,50,Custer,KY,37.753533,-86.21654,-6,1,37.753533
40117,2457,35.5,47969,24234,228,Ekron,KY,37.915077,-86.14434,-5,1,37.915077
40118,9058,38.8,48526,21570,1517,Fairdale,KY,38.106135,-85.75362,-5,1,38.106135
40119,1949,48.7,57542,25208,247,Falls Of Rough,KY,37.600179,-86.52846,-6,1,37.600179
40121,9092,24.9,55196,23663,1049,Fort Knox,KY,37.895491,-85.9662,-5,1,37.895491
40140,579,42.5,40435,14463,157,Garfield,KY,37.675627,-86.23001,-6,1,37.675627
40142,2248,41.9,54462,30124,377,Guston,KY,37.894075,-86.20383,-5,1,37.894075
40143,5840,44.8,40732,22307,777,Hardinsburg,KY,37.777083,-86.48345,-6,1,37.777083
40144,1881,43.2,65000,23428,260,Harned,KY,37.750101,-86.39972,-6,1,37.750101
40145,834,33.3,68608,22083,261,Hudson,KY,37.652706,-86.3173,-6,1,37.652706
40146,4105,37.1,45808,18244,758,Irvington,KY,37.88108,-86.31377,-6,1,37.88108
40150,4320,40.7,52868,20911,634,Lebanon Junction,KY,37.849334,-85.73269,-5,1,37.849334
40152,972,55.8,41699,25079,87,McDaniels,KY,37.61966,-86.45078,-6,1,37.61966
40155,1109,35.3,35653,16964,343,Muldraugh,KY,37.937825,-85.99137,-5,1,37.937825
40157,751,29.9,60481,22442,81,Payneville,KY,38.028543,-86.38511,-5,1,38.028543
40160,23363,34.3,45156,22094,4396,Radcliff,KY,37.828459,-85.93888,-5,1,37.828459
40162,6479,38.2,64924,25000,682,Rineyville,KY,37.756775,-86.00073,-5,1,37.756775
40165,35491,40.8,60497,26645,4059,Shepherdsville,KY,37.997938,-85.69667,-5,1,37.997938
40170,424,50.9,35909,13775,179,Stephensport,KY,37.965908,-86.49255,-6,1,37.965908
40171,257,53.2,27571,15661,90,Union Star,KY,37.969766,-86.43079,-6,1,37.969766
40175,14026,40.8,55328,28560,1453,Vine Grove,KY,37.826822,-86.00692,-5,1,37.826822
40176,970,36.3,53043,20301,167,Webster,KY,37.934279,-86.34869,-6,1,37.934279
40177,1380,35,41434,18768,408,West Point,KY,37.997957,-85.94452,-5,1,37.997957
40178,563,34.2,60938,17395,29,Westview,KY,37.647315,-86.40623,-6,1,37.647315
40202,6827,36.3,17372,22211,2065,Louisville,KY,38.252854,-85.75137,-5,1,38.252854
40203,18745,34.9,15341,14275,8611,Louisville,KY,38.248106,-85.7665,-5,1,38.248106
40204,14455,34.9,51281,40102,2022,Louisville,KY,38.23862,-85.72626,-5,1,38.23862
40205,24344,42.3,74313,45474,1706,Louisville,KY,38.22292,-85.68326,-5,1,38.22292
40206,19885,37.3,51515,37319,2312,Louisville,KY,38.254671,-85.70254,-5,1,38.254671
40207,30755,41.2,77722,52296,2308,Louisville,KY,38.257489,-85.65134,-5,1,38.257489
40208,17523,23,26743,15742,5193,Louisville,KY,38.218764,-85.76241,-5,1,38.218764
40209,226,30.3,23250,10605,140,Louisville,KY,38.19187,-85.75298,-5,1,38.19187
40210,13424,35.1,22487,14740,5313,Louisville,KY,38.23067,-85.78665,-5,1,38.23067
40211,23081,34.3,29419,16357,6805,Louisville,KY,38.24142,-85.81181,-5,1,38.24142
40212,17965,34,26089,13719,7003,Louisville,KY,38.26632,-85.79998,-5,1,38.26632
40213,16326,37.3,40487,26759,2452,Louisville,KY,38.186126,-85.71304,-5,1,38.186126
40214,45542,36.7,40822,22134,9135,Louisville,KY,38.160936,-85.77624,-5,1,38.160936
40215,21187,34,31927,15865,5935,Louisville,KY,38.19192,-85.78405,-5,1,38.19192
40216,42407,38.6,41142,21557,7594,Louisville,KY,38.188886,-85.83137,-5,1,38.188886
40217,12716,36.8,46113,26871,2248,Louisville,KY,38.21632,-85.739,-5,1,38.21632
40218,33663,34.8,41018,23030,6034,Louisville,KY,38.193769,-85.65733,-5,1,38.193769
40219,38889,37.2,45741,24042,6890,Louisville,KY,38.141638,-85.68218,-5,1,38.141638
40220,33180,39.9,58542,33078,3929,Louisville,KY,38.214982,-85.62207,-5,1,38.214982
40222,21276,43.1,64557,48424,1389,Louisville,KY,38.26507,-85.61319,-5,1,38.26507
40223,23405,40.6,76754,43077,1234,Louisville,KY,38.258941,-85.55574,-5,1,38.258941
40228,16397,42.5,66619,30500,1356,Louisville,KY,38.137586,-85.62741,-5,1,38.137586
40229,37767,36.3,55666,24537,4203,Louisville,KY,38.085601,-85.66979,-5,1,38.085601
40241,29983,43.3,75769,43678,1945,Louisville,KY,38.305636,-85.58424,-5,1,38.305636
40242,11570,40.4,65165,33596,767,Louisville,KY,38.279059,-85.59037,-5,1,38.279059
40243,10727,44.2,62150,35699,804,Louisville,KY,38.237155,-85.53657,-5,1,38.237155
40245,34313,39.5,112655,51042,1495,Louisville,KY,38.270855,-85.48322,-5,1,38.270855
40258,27039,37.6,51962,24740,2216,Louisville,KY,38.141719,-85.86375,-5,1,38.141719
40272,37532,40.6,54696,26050,4759,Louisville,KY,38.096056,-85.85994,-5,1,38.096056
40280,747,20.3,36422,11908,69,Louisville,KY,38.246721,-85.685261,-5,1,38.246721
40291,37014,39.2,68716,32050,2094,Louisville,KY,38.147232,-85.59169,-5,1,38.147232
40299,40335,39.9,72120,34776,1794,Louisville,KY,38.190568,-85.55348,-5,1,38.190568
40310,384,47.4,35455,19653,141,Burgin,KY,37.754255,-84.76904,-5,1,37.754255
40311,7419,39.6,39955,21275,1905,Carlisle,KY,38.320944,-84.02358,-5,1,38.320944
40312,5306,39.3,29167,18623,1517,Clay City,KY,37.846536,-83.9343,-5,1,37.846536
40313,3381,28.8,29982,13769,1423,Clearfield,KY,38.156248,-83.41586,-5,1,38.156248
40322,2976,44,40410,18568,554,Frenchburg,KY,37.937105,-83.63429,-5,1,37.937105
40324,46379,35.4,66601,30674,5243,Georgetown,KY,38.221179,-84.55465,-5,1,38.221179
40328,1204,39.3,36786,25053,306,Gravel Switch,KY,37.561722,-85.0227,-5,1,37.561722
40330,19370,43.4,46609,24750,3419,Harrodsburg,KY,37.773923,-84.85812,-5,1,37.773923
40336,12665,41.4,29704,17547,4029,Irvine,KY,37.694764,-83.9771,-5,1,37.694764
40337,4962,38.9,38508,19331,1132,Jeffersonville,KY,37.9615,-83.8438,-5,1,37.9615
40342,21632,40.6,52119,25013,2574,Lawrenceburg,KY,38.012479,-84.94075,-5,1,38.012479
40346,962,35.7,36563,16724,240,Means,KY,37.979941,-83.73183,-5,1,37.979941
40347,2722,40.3,61380,32912,233,Midway,KY,38.153759,-84.70928,-5,1,38.153759
40348,554,45.6,31071,19494,181,Millersburg,KY,38.302495,-84.14578,-5,1,38.302495
40350,95,51.2,46250,22847,29,Moorefield,KY,38.304494,-83.87442,-5,1,38.304494
40351,21064,31.7,38255,19842,4316,Morehead,KY,38.19056,-83.4321,-5,1,38.19056
40353,22568,39.1,42981,22038,5036,Mount Sterling,KY,38.061248,-83.92964,-5,1,38.061248
40356,43303,38.5,55280,29364,7669,Nicholasville,KY,37.883886,-84.571,-5,1,37.883886
40358,857,56,40190,16428,168,Olympia,KY,38.057744,-83.6848,-5,1,38.057744
40359,6381,42.4,45025,20792,967,Owenton,KY,38.467809,-84.81023,-5,1,38.467809
40360,6609,35.7,45703,23618,1253,Owingsville,KY,38.152302,-83.76603,-5,1,38.152302
40361,18375,41.9,49053,26445,2985,Paris,KY,38.212471,-84.23646,-5,1,38.212471
40370,2680,42.2,59957,29321,160,Sadieville,KY,38.399525,-84.53353,-5,1,38.399525
40371,3235,42.6,33190,16070,960,Salt Lick,KY,38.087867,-83.61146,-5,1,38.087867
40372,2327,41,65225,26143,104,Salvisa,KY,37.911825,-84.88657,-5,1,37.911825
40374,1843,43.3,37917,17551,579,Sharpsburg,KY,38.201485,-83.91734,-5,1,38.201485
40379,3504,42.6,46823,26304,488,Stamping Ground,KY,38.29617,-84.69614,-5,1,38.29617
40380,6835,38.4,41835,19781,1358,Stanton,KY,37.838747,-83.8099,-5,1,37.838747
40383,23404,41.8,61820,31326,3378,Versailles,KY,38.042639,-84.73189,-5,1,38.042639
40385,2682,41.4,40802,20956,532,Waco,KY,37.724497,-84.11389,-5,1,37.724497
40387,2052,49,35250,22043,364,Wellington,KY,37.929101,-83.49464,-5,1,37.929101
40390,7374,29.9,51356,21382,1278,Wilmore,KY,37.85743,-84.66069,-5,1,37.85743
40391,35381,42.2,51352,26148,5219,Winchester,KY,37.98223,-84.17023,-5,1,37.98223
40402,2461,46.8,32500,20444,477,Annville,KY,37.29409,-83.9759,-5,1,37.29409
40403,24575,36.2,46106,22219,4137,Berea,KY,37.575568,-84.27767,-5,1,37.575568
40409,4188,36.8,40045,17752,630,Brodhead,KY,37.374681,-84.41808,-5,1,37.374681
40419,3876,41.9,31815,18052,872,Crab Orchard,KY,37.455879,-84.48753,-5,1,37.455879
40422,24987,39.7,42129,23808,3522,Danville,KY,37.644426,-84.78862,-5,1,37.644426
40437,5449,40.3,35302,16690,1730,Hustonville,KY,37.431549,-84.81256,-5,1,37.431549
40440,2233,34,37137,19637,302,Junction City,KY,37.583748,-84.80855,-5,1,37.583748
40442,1711,34.7,31761,16776,492,Kings Mountain,KY,37.351449,-84.7219,-5,1,37.351449
40444,14396,42.5,48880,25978,2592,Lancaster,KY,37.667083,-84.59496,-5,1,37.667083
40445,699,51.7,17000,15446,251,Livingston,KY,37.302783,-84.21527,-5,1,37.302783
40447,7667,42,28699,15677,2676,McKee,KY,37.457017,-84.03435,-5,1,37.457017
40456,9728,42.3,35055,20975,2211,Mount Vernon,KY,37.36766,-84.33233,-5,1,37.36766
40460,1160,35.7,52606,20332,130,Orlando,KY,37.406069,-84.24292,-5,1,37.406069
40461,3467,38.2,51064,22038,580,Paint Lick,KY,37.59483,-84.40789,-5,1,37.59483
40464,1295,50.3,57011,27245,165,Parksville,KY,37.55081,-84.90009,-5,1,37.55081
40468,1957,45.4,42772,20795,342,Perryville,KY,37.65487,-84.98037,-5,1,37.65487
40472,1786,51.9,37917,18864,300,Ravenna,KY,37.703394,-83.91384,-5,1,37.703394
40475,60296,33.7,46699,24551,11396,Richmond,KY,37.745999,-84.28433,-5,1,37.745999
40481,262,26.7,48029,12492,57,Sandgap,KY,37.43424,-84.09155,-5,1,37.43424
40484,10987,41.6,40483,21194,2044,Stanford,KY,37.520836,-84.6735,-5,1,37.520836
40486,3007,35.7,46597,16949,1138,Tyner,KY,37.369321,-83.85889,-5,1,37.369321
40489,4275,39.7,41680,19048,1302,Waynesburg,KY,37.351221,-84.62099,-5,1,37.351221
40502,26699,37.9,66815,51427,3653,Lexington,KY,38.017219,-84.4859,-5,1,38.017219
40503,29534,36.2,60793,32010,4017,Lexington,KY,38.007898,-84.53452,-5,1,38.007898
40504,26888,31.9,32911,19320,8746,Lexington,KY,38.039322,-84.54259,-5,1,38.039322
40505,25750,40.8,34707,22515,5846,Lexington,KY,38.058477,-84.46109,-5,1,38.058477
40507,1892,41.9,18993,41016,629,Lexington,KY,38.047408,-84.49627,-5,1,38.047408
40508,26686,22.6,24074,16070,11191,Lexington,KY,38.051727,-84.49336,-5,1,38.051727
40509,38800,35.4,73423,40330,3729,Lexington,KY,38.005199,-84.40954,-5,1,38.005199
40510,2102,34.6,102036,30382,176,Lexington,KY,38.064087,-84.60713,-5,1,38.064087
40511,32900,34.3,54013,26568,4688,Lexington,KY,38.105283,-84.50775,-5,1,38.105283
40513,11242,43.8,98633,50873,488,Lexington,KY,38.010247,-84.58619,-5,1,38.010247
40514,15682,38.1,86017,41334,397,Lexington,KY,37.984907,-84.56691,-5,1,37.984907
40515,35839,37.4,68708,38148,2930,Lexington,KY,37.952113,-84.45347,-5,1,37.952113
40516,3134,41.7,69125,37402,239,Lexington,KY,38.071981,-84.38559,-5,1,38.071981
40517,36445,31.9,40081,23631,9415,Lexington,KY,37.985128,-84.48874,-5,1,37.985128
40601,50573,40.9,53598,28082,6366,Frankfort,KY,38.201649,-84.86935,-5,1,38.201649
40701,30668,38.9,33389,19818,7641,Corbin,KY,36.942035,-84.10685,-5,1,36.942035
40729,5277,44.5,29392,17505,1539,East Bernstadt,KY,37.231717,-84.13026,-5,1,37.231717
40734,3820,34.6,27542,12617,1619,Gray,KY,36.930995,-83.98146,-5,1,36.930995
40740,3169,36.8,37000,17501,577,Lily,KY,37.015283,-84.05872,-5,1,37.015283
40741,22721,40.6,39275,22827,4836,London,KY,37.143828,-84.07839,-5,1,37.143828
40744,18708,38.1,41669,20770,4446,London,KY,37.060576,-84.071,-5,1,37.060576
40759,2505,35.2,28240,16788,857,Rockholds,KY,36.817151,-84.05917,-5,1,36.817151
40763,414,34.7,14063,12436,170,Siler,KY,36.681189,-83.95156,-5,1,36.681189
40769,17999,33.4,31129,14956,4961,Williamsburg,KY,36.709853,-84.1508,-5,1,36.709853
40771,1309,35.9,40085,15033,484,Woodbine,KY,36.888978,-84.05237,-5,1,36.888978
40801,607,35.6,25270,8505,360,Ages Brookside,KY,36.858906,-83.2528,-5,1,36.858906
40806,2192,38.9,27375,17443,627,Baxter,KY,36.872801,-83.30778,-5,1,36.872801
40807,413,45,48125,21607,82,Benham,KY,36.963608,-82.95015,-5,1,36.963608
40808,40,53.5,36250,14505,12,Big Laurel,KY,36.981495,-83.25264,-5,1,36.981495
40810,1130,42.5,21250,12438,349,Bledsoe,KY,36.91707,-83.32399,-5,1,36.91707
40815,1381,44.4,21193,15441,476,Cawood,KY,36.781517,-83.22904,-5,1,36.781517
40818,57,23.6,23500,7970,40,Coalgood,KY,36.807137,-83.26552,-5,1,36.807137
40819,545,42.3,22019,21421,137,Coldiron,KY,36.827233,-83.4645,-5,1,36.827233
40820,814,35.8,26083,10205,284,Cranks,KY,36.766134,-83.16117,-5,1,36.766134
40823,3658,43.4,23739,16589,1257,Cumberland,KY,36.972292,-82.99572,-5,1,36.972292
40824,383,46.7,26364,21757,153,Dayhoit,KY,36.840955,-83.37539,-5,1,36.840955
40826,785,33.1,33482,14004,191,Eolia,KY,37.048238,-82.81775,-5,1,37.048238
40827,839,43.9,45260,16671,386,Essie,KY,37.043142,-83.48892,-5,1,37.043142
40828,3774,39.1,23455,12445,1587,Evarts,KY,36.86772,-83.17747,-5,1,36.86772
40831,5219,40.4,23773,17451,1674,Harlan,KY,36.828285,-83.31856,-5,1,36.828285
40843,265,54,17750,9627,129,Holmes Mill,KY,36.868363,-82.96607,-5,1,36.868363
40844,79,77.6,29471,22314,6,Hoskinston,KY,37.058837,-83.38533,-5,1,37.058837
40845,679,48.6,18929,8284,195,Hulen,KY,36.786271,-83.52009,-5,1,36.786271
40847,375,37.6,14583,10115,201,Kenvir,KY,36.852687,-83.15917,-5,1,36.852687
40849,495,36,35278,14085,69,Lejunior,KY,36.885169,-83.12461,-5,1,36.885169
40854,994,37.3,23250,14285,393,Loyall,KY,36.85107,-83.35315,-5,1,36.85107
40855,701,43.3,34886,17627,216,Lynch,KY,36.96222,-82.90522,-5,1,36.96222
40856,666,48.3,46000,19525,143,Miracle,KY,36.726258,-83.54969,-5,1,36.726258
40858,325,54.1,22500,16770,116,Mozelle,KY,37.018413,-83.39768,-5,1,37.018413
40862,408,56.2,51000,23996,41,Partridge,KY,37.004426,-82.89858,-5,1,37.004426
40863,607,45.2,20489,10623,253,Pathfork,KY,36.753043,-83.44991,-5,1,36.753043
40870,410,37.1,31000,14260,108,Totz,KY,36.930024,-83.15467,-5,1,36.930024
40873,2401,43.9,27813,15938,836,Wallins Creek,KY,36.823334,-83.41058,-5,1,36.823334
40874,470,51.1,49417,22441,78,Warbranch,KY,36.982545,-83.48003,-5,1,36.982545
40902,1307,35.6,19479,8121,651,Arjay,KY,36.836208,-83.63388,-5,1,36.836208
40903,475,46.2,24423,17831,108,Artemus,KY,36.825088,-83.8385,-5,1,36.825088
